"","名稱","地址","服務","latitude","longitude"
"1","泰舒福養身館","200台灣基隆市仁愛區愛三路128號3樓","全身按摩腳底按摩肩頸按摩背部按摩指壓油壓泰式按摩泰式古法休閒舒壓經絡按摩精油按摩足湯泰式SPA被動式瑜伽踩背",25.129772007991,121.743773008577
"2","晴羽SPA美容坊","807台灣高雄市三民區新民路93號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿拔罐刮痧精油按摩局部護理芳療SPA泰式SPA洗頭",22.651967016352,120.323564959841
"3","米娜MinaSPA越式洗頭","811台灣高雄市楠梓區清豐路722號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩休閒舒壓滑罐拔罐精油按摩臉部護膚臉部按摩水療SPA芳療SPA美容SPA泰式SPA掏耳朵踩背美甲洗頭",22.737566992984,120.325117036852
"4","緣MiniSPA館","401台灣台中市東區福仁街269號","全身按摩腳底按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿拔罐刮痧精油按摩足湯芳療SPA泰式SPA美甲洗頭",24.144475014948,120.686643021501
"5","沐晴SPA美學","243台灣新北市泰山區明志路二段384號","全身按摩腳底按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿拔罐刮痧精油按摩芳療SPA泰式SPA",25.044609901982,121.425354397588
"6","奈拉男女SPA館","807台灣高雄市三民區明誠一路812號","全身按摩美胸按摩指壓油壓歐式按摩台式按摩中式按摩休閒舒壓經絡按摩刮痧精油按摩局部護理臉部護膚臉部按摩芳療SPA美容SPA歐式SPA薰香耳燭掏耳朵除毛",22.659943989785,120.31702397406
"7","靚秀佳人美學館","43548台灣台中市梧棲區台灣大道九段380號","全身按摩半身按摩腳底按摩肩頸按摩背部按摩指壓油壓泰式按摩歐式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿精油按摩臉部護膚修腳皮足湯水療SPA芳療SPA美容SPA泰式SPA歐式SPA薰香耳燭掏耳朵除毛美甲洗頭",24.253037718243,120.528607517727
"8","雅竹美學館","403台灣台中市西區長春街56號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩歐式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿精油按摩芳療SPA泰式SPA歐式SPA",24.154738110562,120.66017406092
"9","紫晴SPA按摩坊","640台灣雲林縣斗六市大學路一段601號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩芳療SPA泰式SPA",23.703975995865,120.554679008459
"10","春天美容護膚","640台灣雲林縣斗六市大學路一段605號","全身按摩半身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩精油按摩局部護理芳療SPA泰式SPA被動式瑜伽踩背",23.703893015023,120.554667022338
"11","伊莎漫SPA會館","800台灣高雄市新興區七賢二路96號","全身按摩半身按摩肩頸按摩背部按摩指壓泰式按摩越式按摩台式按摩休閒舒壓精油按摩局部護理芳療SPA泰式SPA被動式瑜伽",22.634286984165,120.29863600633
"12","寶嘉莉生醫美學SPA","351台灣苗栗縣頭份市東民五街23號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩臉部護膚臉部按摩芳療SPA美容SPA",24.688709012553,120.902029015544
"13","珍珍慧越式按摩","637台灣雲林縣崙背鄉正義路80-16號","全身按摩半身按摩腳底按摩肩頸按摩背部按摩指壓油壓越式按摩休閒舒壓經絡按摩拔罐刮痧精油按摩臉部護膚臉部按摩修凍甲修腳皮芳療SPA美容SPA掏耳朵被動式瑜伽洗頭",23.761178599308,120.359521052865
"14","古坑按摩養生館","646台灣雲林縣古坑鄉西平路3號","全身按摩半身按摩腳底按摩肩頸按摩背部按摩指壓台式按摩中式按摩經絡按摩中式推拿刮痧局部護理",23.646646208897,120.560918161907
"15","水之吻SPA時尚會館","600台灣嘉義市西區北港路1465號","全身按摩半身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩局部護理芳療SPA泰式SPA被動式瑜伽踩背",23.492089991221,120.397009961492
"16","芯悅美妍美體生活館","600台灣嘉義市西區世賢路三段560號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿拔罐刮痧精油按摩芳療SPA泰式SPA美甲美睫",23.461077622955,120.438732628541
"17","陶莉養生館","320台灣桃園市中壢區建國北路53號","全身按摩腳底按摩肩頸按摩背部按摩指壓油壓台式按摩中式按摩休閒舒壓經絡按摩中式推拿拔罐刮痧精油按摩芳療SPA",24.958012981786,121.226623999526
"18","捷研足體養生館","407台灣台中市西屯區寧夏路100號","全身按摩腳底按摩肩頸按摩背部按摩指壓台式按摩中式按摩深層組織按摩經絡按摩中式推拿滑罐刮痧足湯",24.165955485853,120.662003830384
"19","天下足體養生館","428台灣台中市大雅區民生路四段80號","全身按摩半身按摩腳底按摩肩頸按摩背部按摩指壓油壓台式按摩中式按摩經絡按摩中式推拿拔罐刮痧精油按摩臉部按摩足湯",24.236621006502,120.668835584386
"20","活泉足體養身世界","104台灣台北市中山區民權東路二段134號","全身按摩半身按摩腳底按摩肩頸按摩背部按摩指壓油壓台式按摩中式按摩休閒舒壓經絡按摩中式推拿拔罐刮痧精油按摩修凍甲修腳皮足湯",25.062303009938,121.532922965257
"21","千金閣男女養生館","542台灣南投縣草屯鎮中正路1639號","全身按摩半身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩局部護理芳療SPA泰式SPA被動式瑜伽踩背",24.000758819282,120.690171383643
"22","藍海會館","542台灣南投縣草屯鎮中正路1358號","全身按摩半身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩局部護理芳療SPA泰式SPA被動式瑜伽踩背",23.995405004358,120.6891119949
"23","老爺皇家SPA舒壓會館(舊紫金城)","542台灣南投縣草屯鎮中正路1358號","全身按摩半身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩局部護理芳療SPA泰式SPA被動式瑜伽踩背",23.995405004358,120.6891119949
"24","泰陽花養生會館","542台灣南投縣草屯鎮中正路1386號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿拔罐刮痧精油按摩局部護理芳療SPA泰式SPA被動式瑜伽",23.996388997881,120.689430004307
"25","丹陽泰中式養身館","325台灣桃園市龍潭區中豐路281號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩泰式古法台式按摩中式按摩休閒舒壓經絡按摩中式推拿刮痧精油按摩芳療SPA泰式SPA被動式瑜伽踩背",24.87768798828,121.211718964023
"26","泰美地泰式紓壓養生館","235台灣新北市中和區明仁街13號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩泰式古法休閒舒壓經絡按摩精油按摩芳療SPA泰式SPA被動式瑜伽踩背",24.995647014582,121.506096013592
"27","和緣經絡推拿","710台灣台南市永康區永大路二段978號","全身按摩半身按摩腳底按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿拔罐刮痧精油按摩局部護理芳療SPA泰式SPA被動式瑜伽踩背",23.016887001235,120.263176029671
"28","小師妹男女養生會館","320台灣桃園市中壢區中山東路二段299號","全身按摩腳底按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿拔罐刮痧精油按摩局部護理臉部護膚足湯芳療SPA美容SPA泰式SPA薰香耳燭除毛洗頭",24.950438381615,121.24191066308
"29","中壢人養身按摩會館","320台灣桃園市中壢區裕民街26號","全身按摩肩頸按摩背部按摩指壓油壓泰式按摩越式按摩台式按摩中式按摩休閒舒壓經絡按摩中式推拿精油按摩芳療SPA泰式SPA",24.957720704823,121.224933704932
